regression,model,n_obs,positive_rate,n_features,n_model_fixed_effects,log_likelihood,null_log_likelihood,mcfadden_pseudo_r2,aic,bic_llf,lr_statistic_vs_null,lr_df,lr_p_value,accuracy_at_0_5,auc,converged
pooled_model_fixed_effects,POOLED_WITH_MODEL_FE,47631,0.546282882996368,40,7,-29145.798756214695,-30705.401751390054,0.0507924634174427,58387.59751242939,58808.61698868918,3119.205990350718,40,0.0,0.6590245848292079,0.7198293139069902,True
pooled_no_model_fixed_effects,POOLED_NO_MODEL_FE,47631,0.546282882996368,40,0,-31388.756122322025,-32810.939708970735,0.043344798998849576,62859.51224464405,63219.13304728262,2844.367173297418,40,0.0,0.6055720014276417,0.6393698553818868,True
per_model_robustness,final_v3_results_Pro_MiniMaxAI_MiniMax-M2.5,5953,0.5005879388543591,40,0,-3869.5635592286417,-4126.301050300426,0.06221976727875733,7821.127118457283,8095.484791956573,513.4749821435689,40,1.6934533013641574e-83,0.6168318494876532,0.6659899385295399,True
per_model_robustness,final_v3_results_Pro_zai-org_GLM-4.7,5954,0.3244877393349009,40,0,-3553.821405681657,-3752.2466741237417,0.052881722785036,7189.642811363314,7464.007371567918,396.85053688416974,40,2.739737850729409e-60,0.6902922405105811,0.6563088443169195,True
per_model_robustness,final_v3_results_Qwen_Qwen2.5-32B-Instruct,5954,0.5688612697346321,40,0,-3837.0379635163326,-4070.3521997518374,0.057320404914771084,7756.075927032665,8030.44048723727,466.62847247100945,40,4.124924210480779e-74,0.621263016459523,0.6589659884507654,True
per_model_robustness,final_v3_results_Qwen_Qwen2.5-72B-Instruct,5954,0.4081289889150151,40,0,-3848.5652640694116,-4025.9181108631924,0.04405277055070422,7779.130528138823,8053.495088343428,354.70569358756165,40,4.659675523371318e-52,0.6249580114208935,0.6411458990204734,True
per_model_robustness,final_v3_results_deepseek-ai_DeepSeek-V3,5954,0.6331877729257642,40,0,-3486.821203464428,-3913.19071156258,0.1089569968666051,7055.642406928856,7330.00696713346,852.739016196304,40,5.378554129007653e-153,0.6876049714477662,0.7200001093071385,True
per_model_robustness,final_v3_results_google_gemini-2.5-flash-lite,5954,0.7957675512260665,40,0,-2847.5588215355788,-3013.9990857127473,0.05522240035378412,5777.1176430711575,6051.482203275762,332.880528354337,40,7.708948793907092e-48,0.7961034598589184,0.6644763745251161,True
per_model_robustness,final_v3_results_gpt-4o-mini,5954,0.45280483708431307,40,0,-3957.7114746126463,-4100.435104853276,0.034806947699697055,7997.4229492252925,8271.787509429898,285.44726048125995,40,8.467522762715287e-39,0.6026200873362445,0.6291188273375922,True
per_model_robustness,final_v3_results_gpt-5.5,5954,0.6864292912327847,40,0,-3450.915580660291,-3702.958814222249,0.06806536237830019,6983.831161320582,7258.195721525187,504.086467123916,40,1.3056707560131488e-81,0.700369499496137,0.6742274910100075,True
