regression,model,n_obs,positive_rate,n_features,n_model_fixed_effects,log_likelihood,null_log_likelihood,mcfadden_pseudo_r2,aic,bic_llf,lr_statistic_vs_null,lr_df,lr_p_value,accuracy_at_0_5,auc,converged
pooled_model_fixed_effects,POOLED_WITH_MODEL_FE,47629,0.30496126309601296,40,7,-27597.426330844235,-28781.695558909883,0.04114661089516791,55290.85266168847,55711.870122411834,2368.5384561312967,40,0.0,0.7096516827982952,0.6612544037920653,True
pooled_no_model_fixed_effects,POOLED_NO_MODEL_FE,47629,0.30496126309601296,40,0,-28134.433618645424,-29292.28972325643,0.03952767487792985,56350.86723729085,56710.486318325384,2315.712209222009,40,0.0,0.6977261752293771,0.635439608672902,True
per_model_robustness,Pro_MiniMaxAI_MiniMax-M2.5,5951,0.3318769954629474,40,0,-3544.026362927916,-3781.860120622227,0.06288803660331577,7170.052725855832,7444.396622473271,475.6675153886217,40,6.459543776706189e-76,0.6805578894303479,0.6691670911545221,True
per_model_robustness,Pro_zai-org_GLM-4.7,5954,0.2779643936849177,40,0,-3368.5854377028236,-3518.935896996858,0.04272611485260269,6819.170875405647,7093.535435610252,300.7009185880688,40,1.1008400810035417e-41,0.7242190124286194,0.6413072948180881,True
per_model_robustness,Qwen_Qwen2.5-32B-Instruct,5954,0.26452804837084315,40,0,-3324.6170447339687,-3439.864133384444,0.03350338390751639,6731.234089467937,7005.598649672542,230.49417730095047,40,1.2944157371925029e-28,0.7378233120591199,0.6217051077110451,True
per_model_robustness,Qwen_Qwen2.5-72B-Instruct,5954,0.3473295263688277,40,0,-3626.2925928911272,-3844.961135325802,0.05687145714572894,7334.5851857822545,7608.949745986859,437.3370848693494,40,2.777000083947541e-68,0.675680214981525,0.6584336371898926,True
per_model_robustness,deepseek-ai_DeepSeek-V3,5954,0.4126637554585153,40,0,-3617.259229185842,-4035.7010117466857,0.10368503051709932,7316.518458371684,7590.883018576288,836.8835651216878,40,1.0450670367404987e-149,0.6647631844138394,0.7130783883714967,True
per_model_robustness,google_gemini-2.5-flash-lite,5954,0.19734632180047026,40,0,-2876.2707888214923,-2957.3611157073738,0.02741982588977321,5834.5415776429845,6108.906137847589,162.180653771763,40,1.208174055842803e-16,0.8029895868323816,0.614164540787933,True
per_model_robustness,gpt-4o-mini,5954,0.2413503527040645,40,0,-3197.491781531505,-3290.3677120944412,0.0282266113363413,6476.98356306301,6751.348123267614,185.7518611258729,40,1.1681565721992886e-20,0.757306012764528,0.6170706843350159,True
per_model_robustness,gpt-5.5,5954,0.36664427275780986,40,0,-3718.9973479319187,-3912.644433032054,0.049492635585613676,7519.9946958638375,7794.359256068442,387.29417020027086,40,2.0551131726145386e-58,0.6563654685925429,0.6471970129589157,True
