strategy_combo,model,llm_rate,n,human_rate
E+P,DeepSeek-V3,0.4945054945054945,91,0.42857142857142855
E+P,GLM-4.7,0.3076923076923077,91,0.42857142857142855
E+P,GPT-4o-mini,0.4175824175824176,91,0.42857142857142855
E+P,Gemini-2.5-Flash-Lite,0.7362637362637363,91,0.42857142857142855
E+P,MiniMax-M2.5,0.38461538461538464,91,0.42857142857142855
E+P,Qwen-32B,0.5494505494505495,91,0.42857142857142855
E+P,Qwen-72B,0.46153846153846156,91,0.42857142857142855
Ethos,DeepSeek-V3,0.23076923076923078,13,0.3076923076923077
Ethos,GLM-4.7,0.23076923076923078,13,0.3076923076923077
Ethos,GPT-4o-mini,0.23076923076923078,13,0.3076923076923077
Ethos,Gemini-2.5-Flash-Lite,0.5384615384615384,13,0.3076923076923077
Ethos,MiniMax-M2.5,0.3076923076923077,13,0.3076923076923077
Ethos,Qwen-32B,0.3076923076923077,13,0.3076923076923077
Ethos,Qwen-72B,0.23076923076923078,13,0.3076923076923077
L+E,DeepSeek-V3,0.7054945054945055,910,0.5659340659340659
L+E,GLM-4.7,0.3945054945054945,910,0.5659340659340659
L+E,GPT-4o-mini,0.46813186813186813,910,0.5659340659340659
L+E,Gemini-2.5-Flash-Lite,0.8472527472527472,910,0.5659340659340659
L+E,MiniMax-M2.5,0.5659340659340659,910,0.5659340659340659
L+E,Qwen-32B,0.5912087912087912,910,0.5659340659340659
L+E,Qwen-72B,0.46373626373626375,910,0.5659340659340659
L+E+P,DeepSeek-V3,0.7870680044593088,897,0.5707915273132664
L+E+P,GLM-4.7,0.41471571906354515,897,0.5707915273132664
L+E+P,GPT-4o-mini,0.5429208472686734,897,0.5707915273132664
L+E+P,Gemini-2.5-Flash-Lite,0.8483835005574136,897,0.5707915273132664
L+E+P,MiniMax-M2.5,0.6365663322185061,897,0.5707915273132664
L+E+P,Qwen-32B,0.6778149386845039,897,0.5707915273132664
L+E+P,Qwen-72B,0.5340022296544036,897,0.5707915273132664
L+P,DeepSeek-V3,0.6524590163934426,1525,0.5068852459016393
L+P,GLM-4.7,0.32,1525,0.5068852459016393
L+P,GPT-4o-mini,0.48065573770491804,1525,0.5068852459016393
L+P,Gemini-2.5-Flash-Lite,0.8059016393442623,1525,0.5068852459016393
L+P,MiniMax-M2.5,0.47737704918032786,1525,0.5068852459016393
L+P,Qwen-32B,0.5836065573770491,1525,0.5068852459016393
L+P,Qwen-72B,0.41442622950819674,1525,0.5068852459016393
Logos,DeepSeek-V3,0.5552805280528053,2424,0.45173267326732675
Logos,GLM-4.7,0.2755775577557756,2424,0.45173267326732675
Logos,GPT-4o-mini,0.4051155115511551,2424,0.45173267326732675
Logos,Gemini-2.5-Flash-Lite,0.761963696369637,2424,0.45173267326732675
Logos,MiniMax-M2.5,0.459983498349835,2424,0.45173267326732675
Logos,Qwen-32B,0.518976897689769,2424,0.45173267326732675
Logos,Qwen-72B,0.34282178217821785,2424,0.45173267326732675
Pathos,DeepSeek-V3,0.3333333333333333,60,0.4166666666666667
Pathos,GLM-4.7,0.13333333333333333,60,0.4166666666666667
Pathos,GPT-4o-mini,0.2,60,0.4166666666666667
Pathos,Gemini-2.5-Flash-Lite,0.43333333333333335,60,0.4166666666666667
Pathos,MiniMax-M2.5,0.1,60,0.4166666666666667
Pathos,Qwen-32B,0.26666666666666666,60,0.4166666666666667
Pathos,Qwen-72B,0.16666666666666666,60,0.4166666666666667
